#prot   lig bin   score
   Br   Met 1.20   0.0000
   Br   Met 1.30   0.0000
   Br   Met 1.40   0.0000
   Br   Met 1.50   0.0000
   Br   Met 1.60   0.0000
   Br   Met 1.70   0.0000
   Br   Met 1.80   0.0000
   Br   Met 1.90   0.0000
   Br   Met 2.00   0.0000
   Br   Met 2.10   0.0000
   Br   Met 2.20   0.0000
   Br   Met 2.30   0.0000
   Br   Met 2.40   0.0000
   Br   Met 2.50   0.0000
   Br   Met 2.60   0.0000
   Br   Met 2.70   0.0000
   Br   Met 2.80   0.0000
   Br   Met 2.90   0.0000
   Br   Met 3.00   0.0000
   Br   Met 3.10   0.0000
   Br   Met 3.20   0.0000
   Br   Met 3.30   0.0000
   Br   Met 3.40   0.0000
   Br   Met 3.50   0.0000
   Br   Met 3.60   0.0000
   Br   Met 3.70   0.0000
   Br   Met 3.80   0.0000
   Br   Met 3.90   0.0000
   Br   Met 4.00   0.0000
   Br   Met 4.10   0.0000
   Br   Met 4.20   0.0000
   Br   Met 4.30   0.0000
   Br   Met 4.40   0.0000
   Br   Met 4.50   0.0000
   Br   Met 4.60   0.0000
   Br   Met 4.70   0.0000
   Br   Met 4.80   0.0000
   Br   Met 4.90   0.0000
   Br   Met 5.00   0.0000
   Br   Met 5.10   0.0000
   Br   Met 5.20   0.0000
   Br   Met 5.30   0.0000
   Br   Met 5.40   0.0000
   Br   Met 5.50   0.0000
   Br   Met 5.60   0.0000
   Br   Met 5.70   0.0000
   Br   Met 5.80   0.0000
   Br   Met 5.90   0.0000
   Br   N.3 1.00   0.0000
   Br   N.3 1.10   0.0000
   Br   N.3 1.20   0.0000
   Br   N.3 1.30   0.0000
   Br   N.3 1.40   0.0000
   Br   N.3 1.50   0.0000
   Br   N.3 1.60   0.0000
   Br   N.3 1.70   0.0000
   Br   N.3 1.80   0.0000
   Br   N.3 1.90   0.0000
   Br   N.3 2.00   0.0000
   Br   N.3 2.10   0.0000
   Br   N.3 2.20   0.0000
   Br   N.3 2.30   0.0000
   Br   N.3 2.40   0.0000
   Br   N.3 2.50   0.0000
   Br   N.3 2.60   0.0000
   Br   N.3 2.70   0.0000
   Br   N.3 2.80   0.0000
   Br   N.3 2.90   0.0000
   Br   N.3 3.00   0.0000
   Br   N.3 3.10   0.0000
   Br   N.3 3.20   0.0000
   Br   N.3 3.30   0.0000
   Br   N.3 3.40   0.0000
   Br   N.3 3.50   0.0000
   Br   N.3 3.60   0.0000
   Br   N.3 3.70   0.0000
   Br   N.3 3.80   0.0000
   Br   N.3 3.90   0.0000
   Br   N.3 4.00   0.0000
   Br   N.3 4.10   0.0000
   Br   N.3 4.20   0.0000
   Br   N.3 4.30   0.0000
   Br   N.3 4.40   0.0000
   Br   N.3 4.50   0.0000
   Br   N.3 4.60   0.0000
   Br   N.3 4.70   0.0000
   Br   N.3 4.80   0.0000
   Br   N.3 4.90   0.0000
   Br   N.3 5.00   0.0000
   Br   N.3 5.10   0.0000
   Br   N.3 5.20   0.0000
   Br   N.3 5.30   0.0000
   Br   N.3 5.40   0.0000
   Br   N.3 5.50   0.0000
   Br   N.3 5.60   0.0000
   Br   N.3 5.70   0.0000
   Br   N.3 5.80   0.0000
   Br   N.3 5.90   0.0000
   Br  N.am 1.00   0.0000
   Br  N.am 1.10   0.0000
   Br  N.am 1.20   0.0000
   Br  N.am 1.30   0.0000
   Br  N.am 1.40   0.0000
   Br  N.am 1.50   0.0000
   Br  N.am 1.60   0.0000
   Br  N.am 1.70   0.0000
   Br  N.am 1.80   0.0000
   Br  N.am 1.90   0.0000
   Br  N.am 2.00   0.0000
   Br  N.am 2.10   0.0000
   Br  N.am 2.20   0.0000
   Br  N.am 2.30   0.0000
   Br  N.am 2.40   0.0000
   Br  N.am 2.50   0.0000
   Br  N.am 2.60   0.0000
   Br  N.am 2.70   0.0000
   Br  N.am 2.80   0.0000
   Br  N.am 2.90   0.0000
